date,team1,team2,output,Predicted Winner,Actual Winner Number,Actual Winner Name,Correct?,,,,
9/10/2020,KC,HOU,1,KC,1,KC,1,,Accuracy,wins,losses
9/13/2020,DET,CHI,0,CHI,0,CHI,1,,63.93%,296,167
9/13/2020,JAX,IND,0,IND,1,JAX,0,,,,
9/13/2020,NE,MIA,1,NE,1,NE,1,,,,
9/13/2020,BUF,NYJ,1,BUF,1,BUF,1,,,,
9/13/2020,ATL,SEA,1,ATL,0,SEA,0,,,,
9/13/2020,MIN,GB,1,MIN,0,GB,0,,,,
9/13/2020,WSH,PHI,0,PHI,1,WSH,0,,,,
9/13/2020,BAL,CLE,1,BAL,1,BAL,1,,,,
9/13/2020,CAR,OAK,0,OAK,0,OAK,1,,,,
9/13/2020,CIN,LAC,0,LAC,0,LAC,1,,,,
9/13/2020,SF,ARI,1,SF,0,ARI,0,,,,
9/13/2020,NO,TB,1,NO,1,NO,1,,,,
9/13/2020,LAR,DAL,1,LAR,1,LAR,1,,,,
9/14/2020,NYG,PIT,0,PIT,0,PIT,1,,,,
9/14/2020,DEN,TEN,0,TEN,0,TEN,1,,,,
9/17/2020,CLE,CIN,1,CLE,1,CLE,1,,,,
9/20/2020,PHI,LAR,0,LAR,0,LAR,1,,,,
9/20/2020,NYJ,SF,0,SF,0,SF,1,,,,
9/20/2020,TEN,JAX,1,TEN,1,TEN,1,,,,
9/20/2020,IND,MIN,0,MIN,1,IND,0,,,,
9/20/2020,CHI,NYG,1,CHI,1,CHI,1,,,,
9/20/2020,GB,DET,1,GB,1,GB,1,,,,
9/20/2020,PIT,DEN,1,PIT,1,PIT,1,,,,
9/20/2020,TB,CAR,1,TB,1,TB,1,,,,
9/20/2020,MIA,BUF,0,BUF,0,BUF,1,,,,
9/20/2020,DAL,ATL,1,DAL,1,DAL,1,,,,
9/20/2020,ARI,WSH,1,ARI,1,ARI,1,,,,
9/20/2020,LAC,KC,0,KC,0,KC,1,,,,
9/20/2020,HOU,BAL,0,BAL,0,BAL,1,,,,
9/20/2020,SEA,NE,1,SEA,1,SEA,1,,,,
9/21/2020,OAK,NO,0,NO,1,OAK,0,,,,
9/24/2020,JAX,MIA,1,JAX,0,MIA,0,,,,
9/27/2020,PHI,CIN,1,PHI,0,CIN,0,,,,
9/27/2020,PIT,HOU,1,PIT,1,PIT,1,,,,
9/27/2020,MIN,TEN,0,TEN,0,TEN,1,,,,
9/27/2020,BUF,LAR,1,BUF,1,BUF,1,,,,
9/27/2020,ATL,CHI,1,ATL,0,CHI,0,,,,
9/27/2020,NYG,SF,0,SF,0,SF,1,,,,
9/27/2020,NE,OAK,1,NE,1,NE,1,,,,
9/27/2020,CLE,WSH,1,CLE,1,CLE,1,,,,
9/27/2020,LAC,CAR,1,LAC,0,CAR,0,,,,
9/27/2020,IND,NYJ,1,IND,1,IND,1,,,,
9/27/2020,DEN,TB,0,TB,0,TB,1,,,,
9/27/2020,ARI,DET,1,ARI,0,DET,0,,,,
9/27/2020,SEA,DAL,1,SEA,1,SEA,1,,,,
9/27/2020,NO,GB,1,NO,0,GB,0,,,,
9/28/2020,BAL,KC,1,BAL,0,KC,0,,,,
10/1/2020,NYJ,DEN,1,NYJ,0,DEN,0,,,,
10/4/2020,MIA,SEA,0,SEA,0,SEA,1,,,,
10/4/2020,DAL,CLE,1,DAL,0,CLE,0,,,,
10/4/2020,TB,LAC,1,TB,1,TB,1,,,,
10/4/2020,DET,NO,0,NO,0,NO,1,,,,
10/4/2020,CAR,ARI,0,ARI,1,CAR,0,,,,
10/4/2020,WSH,BAL,0,BAL,0,BAL,1,,,,
10/4/2020,CIN,JAX,0,JAX,1,CIN,0,,,,
10/4/2020,HOU,MIN,1,HOU,0,MIN,0,,,,
10/4/2020,LAR,NYG,1,LAR,1,LAR,1,,,,
10/4/2020,OAK,BUF,0,BUF,0,BUF,1,,,,
10/4/2020,CHI,IND,1,CHI,0,IND,0,,,,
10/4/2020,SF,PHI,1,SF,0,PHI,0,,,,
10/5/2020,KC,NE,1,KC,1,KC,1,,,,
10/5/2020,GB,ATL,1,GB,1,GB,1,,,,
10/8/2020,CHI,TB,1,CHI,1,CHI,1,,,,
10/11/2020,WSH,LAR,0,LAR,0,LAR,1,,,,
10/11/2020,NYJ,ARI,0,ARI,0,ARI,1,,,,
10/11/2020,ATL,CAR,1,ATL,0,CAR,0,,,,
10/11/2020,HOU,JAX,1,HOU,1,HOU,1,,,,
10/11/2020,KC,OAK,1,KC,0,OAK,0,,,,
10/11/2020,BAL,CIN,1,BAL,1,BAL,1,,,,
10/11/2020,PIT,PHI,1,PIT,1,PIT,1,,,,
10/11/2020,SF,MIA,1,SF,0,MIA,0,,,,
10/11/2020,DAL,NYG,1,DAL,1,DAL,1,,,,
10/11/2020,CLE,IND,0,IND,1,CLE,0,,,,
10/11/2020,SEA,MIN,1,SEA,1,SEA,1,,,,
10/12/2020,NO,LAC,1,NO,1,NO,1,,,,
10/13/2020,TEN,BUF,1,TEN,1,TEN,1,,,,
10/18/2020,JAX,DET,1,JAX,0,DET,0,,,,
10/18/2020,IND,CIN,1,IND,1,IND,1,,,,
10/18/2020,TEN,HOU,1,TEN,1,TEN,1,,,,
10/18/2020,CAR,CHI,1,CAR,0,CHI,0,,,,
10/18/2020,NE,DEN,1,NE,0,DEN,0,,,,
10/18/2020,NYG,WSH,1,NYG,1,NYG,1,,,,
10/18/2020,PIT,CLE,1,PIT,1,PIT,1,,,,
10/18/2020,PHI,BAL,0,BAL,0,BAL,1,,,,
10/18/2020,MIN,ATL,1,MIN,0,ATL,0,,,,
10/18/2020,MIA,NYJ,1,MIA,1,MIA,1,,,,
10/18/2020,TB,GB,0,GB,1,TB,0,,,,
10/18/2020,SF,LAR,0,LAR,1,SF,0,,,,
10/19/2020,BUF,KC,0,KC,0,KC,1,,,,
10/19/2020,DAL,ARI,0,ARI,0,ARI,1,,,,
10/22/2020,PHI,NYG,1,PHI,1,PHI,1,,,,
10/25/2020,ATL,DET,1,ATL,0,DET,0,,,,
10/25/2020,WSH,DAL,0,DAL,1,WSH,0,,,,
10/25/2020,NO,CAR,1,NO,1,NO,1,,,,
10/25/2020,CIN,CLE,0,CLE,0,CLE,1,,,,
10/25/2020,HOU,GB,0,GB,0,GB,1,,,,
10/25/2020,TEN,PIT,1,TEN,0,PIT,0,,,,
10/25/2020,NYJ,BUF,0,BUF,0,BUF,1,,,,
10/25/2020,OAK,TB,1,OAK,0,TB,0,,,,
10/25/2020,LAC,JAX,1,LAC,1,LAC,1,,,,
10/25/2020,NE,SF,1,NE,0,SF,0,,,,
10/25/2020,DEN,KC,0,KC,0,KC,1,,,,
10/25/2020,ARI,SEA,0,SEA,1,ARI,0,,,,
10/26/2020,LAR,CHI,1,LAR,1,LAR,1,,,,
10/29/2020,CAR,ATL,0,ATL,0,ATL,1,,,,
11/1/2020,BAL,PIT,1,BAL,0,PIT,0,,,,
11/1/2020,GB,MIN,1,GB,0,MIN,0,,,,
11/1/2020,CLE,OAK,1,CLE,0,OAK,0,,,,
11/1/2020,KC,NYJ,1,KC,1,KC,1,,,,
11/1/2020,CIN,TEN,0,TEN,1,CIN,0,,,,
11/1/2020,MIA,LAR,0,LAR,1,MIA,0,,,,
11/1/2020,BUF,NE,1,BUF,1,BUF,1,,,,
11/1/2020,DET,IND,0,IND,0,IND,1,,,,
11/1/2020,DEN,LAC,1,DEN,1,DEN,1,,,,
11/1/2020,SEA,SF,1,SEA,1,SEA,1,,,,
11/1/2020,CHI,NO,0,NO,0,NO,1,,,,
11/1/2020,PHI,DAL,1,PHI,1,PHI,1,,,,
11/2/2020,NYG,TB,0,TB,0,TB,1,,,,
11/5/2020,SF,GB,1,SF,0,GB,0,,,,
11/8/2020,ATL,DEN,1,ATL,1,ATL,1,,,,
11/8/2020,TEN,CHI,1,TEN,1,TEN,1,,,,
11/8/2020,IND,BAL,1,IND,0,BAL,0,,,,
11/8/2020,JAX,HOU,0,HOU,0,HOU,1,,,,
11/8/2020,BUF,SEA,0,SEA,1,BUF,0,,,,
11/8/2020,WSH,NYG,1,WSH,0,NYG,0,,,,
11/8/2020,KC,CAR,1,KC,1,KC,1,,,,
11/8/2020,MIN,DET,1,MIN,1,MIN,1,,,,
11/8/2020,LAC,OAK,0,OAK,0,OAK,1,,,,
11/8/2020,DAL,PIT,0,PIT,0,PIT,1,,,,
11/8/2020,ARI,MIA,1,ARI,0,MIA,0,,,,
11/8/2020,TB,NO,1,TB,0,NO,0,,,,
11/9/2020,NYJ,NE,0,NE,0,NE,1,,,,
11/12/2020,TEN,IND,1,TEN,0,IND,0,,,,
11/15/2020,GB,JAX,1,GB,1,GB,1,,,,
11/15/2020,NYG,PHI,0,PHI,1,NYG,0,,,,
11/15/2020,DET,WSH,1,DET,1,DET,1,,,,
11/15/2020,CAR,TB,0,TB,0,TB,1,,,,
11/15/2020,CLE,HOU,0,HOU,1,CLE,0,,,,
11/15/2020,ARI,BUF,1,ARI,1,ARI,1,,,,
11/15/2020,OAK,DEN,1,OAK,1,OAK,1,,,,
11/15/2020,MIA,LAC,1,MIA,1,MIA,1,,,,
11/15/2020,NO,SF,1,NO,1,NO,1,,,,
11/15/2020,LAR,SEA,1,LAR,1,LAR,1,,,,
11/15/2020,PIT,CIN,1,PIT,1,PIT,1,,,,
11/15/2020,NE,BAL,0,BAL,1,NE,0,,,,
11/16/2020,CHI,MIN,1,CHI,0,MIN,0,,,,
11/19/2020,SEA,ARI,1,SEA,1,SEA,1,,,,
11/22/2020,JAX,PIT,0,PIT,0,PIT,1,,,,
11/22/2020,BAL,TEN,1,BAL,0,TEN,0,,,,
11/22/2020,WSH,CIN,0,CIN,1,WSH,0,,,,
11/22/2020,HOU,NE,1,HOU,1,HOU,1,,,,
11/22/2020,CLE,PHI,1,CLE,1,CLE,1,,,,
11/22/2020,NO,ATL,1,NO,1,NO,1,,,,
11/22/2020,CAR,DET,0,DET,1,CAR,0,,,,
11/22/2020,LAC,NYJ,1,LAC,1,LAC,1,,,,
11/22/2020,DEN,MIA,0,MIA,1,DEN,0,,,,
11/22/2020,IND,GB,1,IND,1,IND,1,,,,
11/22/2020,MIN,DAL,1,MIN,0,DAL,0,,,,
11/22/2020,OAK,KC,0,KC,0,KC,1,,,,
11/23/2020,TB,LAR,1,TB,0,LAR,0,,,,
11/26/2020,DET,HOU,0,HOU,0,HOU,1,,,,
11/26/2020,DAL,WSH,1,DAL,0,WSH,0,,,,
11/29/2020,JAX,CLE,0,CLE,0,CLE,1,,,,
11/29/2020,NYJ,MIA,0,MIA,0,MIA,1,,,,
11/29/2020,CIN,NYG,0,NYG,0,NYG,1,,,,
11/29/2020,NE,ARI,0,ARI,1,NE,0,,,,
11/29/2020,MIN,CAR,1,MIN,1,MIN,1,,,,
11/29/2020,BUF,LAC,1,BUF,1,BUF,1,,,,
11/29/2020,ATL,OAK,1,ATL,1,ATL,1,,,,
11/29/2020,IND,TEN,1,IND,0,TEN,0,,,,
11/29/2020,DEN,NO,0,NO,0,NO,1,,,,
11/29/2020,LAR,SF,1,LAR,0,SF,0,,,,
11/29/2020,TB,KC,0,KC,0,KC,1,,,,
11/29/2020,GB,CHI,1,GB,1,GB,1,,,,
11/30/2020,PHI,SEA,0,SEA,0,SEA,1,,,,
